uuid,filename,SessionDuration_seconds,NumFlows,MaxBandwidth_Mbps,MeanBandwidth_Mbps,MinBandwidth_Mbps,StdBandwidth_Mbps,MaxPacingRate_Mbps,MeanPacingRate_Mbps,MinRTT_ms,MaxRTT_ms,MeanRTT_ms,StdRTT_ms,MaxCwnd_packets,MeanCwnd_packets,MaxRcvWindow_bytes,MeanRcvWindow_bytes,TotalBytesAcked_bytes,TotalBytesSent_bytes,TotalBytesReceived_bytes,TotalRetransmissions_count,LossRate_percent,MaxDeliveryRate_Mbps,MeanDeliveryRate_Mbps,TotalBusyTime_microseconds,MaxThroughput_Mbps,MeanThroughput_Mbps,MinThroughput_Mbps,StdThroughput_Mbps
ndt-virtual-rgrwr_1701649381_00000000008A70BE,01_ndt7-download-20240101T051208.988336556Z.ndt-virtual-rgrwr_1701649381_00000000008A70BE.json,7.198501,30,48.00715,39.007042199999994,0.285126,14.560934975010294,137.197309,113.06216436666669,54.799,118.401,82.3306,5.4981333333333335,6113,5059.733333333334,14000,14000.0,3009398064,3096854330,71213,0,0.0,48.007162,38.53684956666667,98028000,280.0983100876159,200.24890789585186,2.1132397619705223,89.78506214686367
ndt-virtual-rgrwr_1701649381_00000000008A49F2,01_ndt7-download-20240101T051210.040482213Z.ndt-virtual-rgrwr_1701649381_00000000008A49F2.json,10.100134,34,30.954742,26.955730941176473,0.187283,7.822915301579098,88.464059,77.03903464705881,51.811,278.936,149.0904411764706,3.5324705882352943,3721,3195.823529411765,14000,14000.0,3082681488,3204689483,89176,377,0.4776999481918292,30.954789,25.404870029411768,185496000,150.96779829310688,113.78623939394915,0.9498664152129499,43.7764396817819
ndt-virtual-rgrwr_1701649381_00000000008A49F0,01_ndt7-download-20240101T051210.194706630Z.ndt-virtual-rgrwr_1701649381_00000000008A49F0.json,11.184466,22,14.73056,8.34704677272727,6.070065,2.736251564392525,42.097756,10.251705363636363,15.628,279.496,98.08027272727273,6.399,874,547.3181818181819,14200,14200.0,468162736,549736536,49352,1036,11.695347823852844,6.703499,3.8187548181818185,103564000,37.444853641843245,35.106519937834456,24.918915905771655,3.0399673745103146
ndt-virtual-rgrwr_1701649381_00000000008A1E77,01_ndt7-download-20240101T051210.322172431Z.ndt-virtual-rgrwr_1701649381_00000000008A1E77.json,4.390601,10,0.740864,0.3651645,0.0,0.2084280349594315,0.944457,0.6289334,69.856,542.454,146.41209999999998,18.830899999999996,100,60.3,14000,14000.0,4647792,5116876,19180,0,0.0,0.740897,0.3277443,17088000,2.9930812141437397,1.8205957084006825,0.8970428307231025,0.6216053923782288
ndt-virtual-rgrwr_1701649381_00000000008A0FD8,01_ndt7-download-20240101T051210.782278214Z.ndt-virtual-rgrwr_1701649381_00000000008A0FD8.json,10.919035000000001,18,2.99237,2.1939465000000005,1.395214,0.5498615178722781,3.987316,2.3254761666666663,26.089,482.6,130.2881111111111,13.026666666666667,260,182.33333333333334,14000,14000.0,123939778,127444238,36556,0,0.0,2.616258,1.3777908333333333,89972000,12.721462385668909,10.327846379067516,6.271073996752493,1.490009366570061
ndt-virtual-rgrwr_1701649381_00000000008A6918,01_ndt7-download-20240101T051210.932283014Z.ndt-virtual-rgrwr_1701649381_00000000008A6918.json,5.379325,23,69.265599,32.12826104347826,0.244376,22.646312727139833,68.572943,31.035708695652172,25.09,188.54,47.48821739130435,12.775434782608695,4170,1915.2608695652175,14200,14200.0,1168658943,1198425776,60007,0,0.0,63.911925,27.41594760869565,78760000,216.6819182810039,103.5148058028508,1.7005225097186807,68.28770677510286
ndt-virtual-rgrwr_1701649381_00000000008A596D,01_ndt7-download-20240101T051211.025627097Z.ndt-virtual-rgrwr_1701649381_00000000008A596D.json,10.101316,34,12.218231,9.772354147058824,8.302032,1.2816584900913743,15.120061,9.777676205882353,12.0,29.748,17.902882352941177,1.1829705882352943,459,292.8235294117647,14200,14200.0,1575494868,1673067348,105687,189,5.29090763177096,12.152654,8.742822470588235,182656000,70.15318369629567,68.7569801199224,57.853984827473695,2.1670845064993127
ndt-virtual-rgrwr_1701649381_00000000008A596F,01_ndt7-download-20240101T051211.496568475Z.ndt-virtual-rgrwr_1701649381_00000000008A596F.json,2.557821,7,1.645065,1.5207385714285715,1.391029,0.06821564355537128,4.367254,2.0165041428571433,15.783,65.907,43.759,1.3187142857142857,60,54.0,14200,14200.0,8903238,9369286,13075,0,0.0,1.463338,1.326078857142857,6816000,11.056276479953944,10.317376744525019,8.126031335345695,0.9502976912161982
ndt-virtual-rgrwr_1701649381_00000000008A70BD,01_ndt7-download-20240101T051212.802549560Z.ndt-virtual-rgrwr_1701649381_00000000008A70BD.json,10.045028,27,9.076474,6.808157296296297,1.390359,1.4720453448139028,25.939216,7.269131111111112,27.863,166.865,100.51159259259259,5.724851851851851,696,578.2592592592592,14000,14000.0,815600214,832177320,60680,1,0.00930162336075201,6.646702,5.2082925555555555,157876000,43.79764836496683,38.15558307450027,3.7950271988872055,9.595065396955507
ndt-virtual-rgrwr_1701649381_00000000008A49FB,01_ndt7-download-20240101T051212.965304953Z.ndt-virtual-rgrwr_1701649381_00000000008A49FB.json,3.563844,6,0.64151,0.5791126666666667,0.452934,0.06870797433987477,1.774339,0.7416525000000002,16.206,135.78,69.95433333333334,7.797,66,55.833333333333336,14200,14200.0,4037768,4315144,12154,0,0.032629270309403345,0.574668,0.5151543333333334,8452000,4.0388934761705615,3.4743417827737346,1.6964212868533284,0.8060580144999351
