BW,MinRTT,PacingGain,CwndGain,ElapsedTime,State,CAState,Retransmits,Probes,Backoff,Options,WScale,AppLimited,RTO,ATO,SndMSS,RcvMSS,Unacked,Sacked,Lost,Retrans,Fackets,LastDataSent,LastAckSent,LastDataRecv,LastAckRecv,PMTU,RcvSsThresh,RTT,RTTVar,SndSsThresh,SndCwnd,AdvMSS,Reordering,RcvRTT,RcvSpace,TotalRetrans,PacingRate,MaxPacingRate,BytesAcked,BytesReceived,SegsOut,SegsIn,NotsentBytes,DataSegsIn,DataSegsOut,DeliveryRate,BusyTime,RWndLimited,SndBufLimited,Delivered,DeliveredCE,BytesSent,BytesRetrans,DSackDups,ReordSeen,RcvOooPack,SndWnd,UUID,Throughput_DeliveryRate,Throughput_BytesAcked,Throughput_SegsOut,Latency,LossRatio,Retransmit_Ratio,Escape_Time,Throughput_Mean,Latency_Mean,Loss_Trend
4989351,29504,739,739,0.232074,1,0,0,0,0,7,118,0,240000,40000,1448,1139,281,0,0,0,0,4,0,236,4,1500,64076,36235,2355,2147483647,284,1448,3,0,14600,0,14258826,-1,404107,1720,566,41,2267568,4,562,4940821,272000,0,0,282,0,810995,0,0,0,0,729088,ndt-88lvq_1732662732_00000000003C9A0F,39.526568,13.930280858691624,28.251954118083024,29.504,0.0,0.0,1.706894,27.236267658924884,29.504,0.0
72929772,29504,739,739,0.857319,1,3,0,0,0,7,118,1,264000,40000,1448,1139,2496,410,791,420,0,12,0,500,12,1500,64076,61049,2458,2147483647,1715,1448,3,0,14600,524,208422465,-1,31740233,1811,25001,206,0,7,24997,72929832,896000,4000,0,22388,0,36109727,758752,0,0,0,4194240,ndt-88lvq_1732662732_00000000003C9A0F,583.438656,296.1813094075834,337.8107612219022,29.504,0.24057177615571776,0.5303030303030303,1.706894,405.8102422098286,29.504,0.24057177615571776
72929772,29504,739,739,1.165328,1,3,0,0,0,7,118,1,248000,40000,1448,1139,2437,801,866,815,0,0,0,212,0,1500,64076,46435,4786,2147483647,1585,1448,3,0,14600,2358,208422465,-1,44559160,1902,35648,390,0,10,35643,72929832,1204000,4000,0,31650,0,51498910,3414384,0,0,0,4194240,ndt-88lvq_1732662732_00000000003C9A0F,583.438656,305.8995235676136,354.36068814960254,29.504,0.26210653753026636,0.9400230680507498,1.706894,414.5662892390721,29.504,0.0215347613745486
56918000,29504,739,739,1.681471,1,3,0,0,0,7,118,1,244000,40000,1448,1139,2572,1183,165,165,0,16,0,444,8,1500,64076,41246,1179,2147483647,2237,1448,3,0,14600,4602,208422465,-1,65339567,1993,52407,716,0,13,52401,56918057,1720000,4000,0,46426,0,75716453,6663696,15,0,0,4194240,ndt-88lvq_1732662732_00000000003C9A0F,455.344456,310.8686001721112,361.04261566211966,29.504,0.060262965668371075,0.9939759036144579,1.706894,375.7518906114103,29.504,-0.20184357186189528
56918000,29504,739,739,1.706894,1,0,0,0,0,7,118,1,244000,40000,1448,1139,2699,0,0,0,0,12,0,468,4,1500,64076,42798,2672,2147483647,4649,1448,3,0,14600,4602,208422465,-1,67540117,1993,54061,723,0,13,54055,56918057,1744000,4000,0,46770,0,78108807,6663696,15,0,0,4194240,ndt-88lvq_1732662732_00000000003C9A0F,455.344456,316.5521327041984,366.8901665832793,29.504,0.0,0.0,1.706894,379.5955850958259,29.504,-0.060262965668371075
62337509,29504,739,739,1.963364,1,0,0,0,0,7,118,1,244000,40000,1448,1139,1895,0,0,0,0,0,0,140,4,1500,64076,40911,2408,2147483647,4649,1448,3,0,14600,5635,208422465,-1,79983702,2175,62899,885,1135758,19,62892,62337549,2000000,4000,0,55378,0,90871810,8159480,15,0,0,4194240,ndt-88lvq_1732662732_00000000003C9A0F,498.700392,325.9047308598915,371.1089823384762,29.504,0.0,0.0,1.706894,398.5713683994559,29.504,0.0
71183944,29504,739,739,2.589387,1,0,0,0,0,7,118,1,244000,40000,1448,1139,2571,0,0,0,0,0,0,488,4,1500,64076,42280,4885,2147483647,4649,1448,3,0,14600,8312,208422465,-1,107807378,2266,85522,1236,390960,22,85514,71183952,2628000,4000,0,74648,0,123556774,12035776,16,0,0,4194240,ndt-88lvq_1732662732_00000000003C9A0F,569.471616,333.07459410277414,382.59512695475803,29.504,0.0,0.0,1.706894,428.3804456858441,29.504,0.0
71183944,29504,739,739,3.21489,1,3,0,0,0,7,118,1,248000,40000,1448,1139,2406,825,862,862,0,0,0,536,0,1500,64076,45388,3582,2147483647,1597,1448,3,0,14600,10979,208422465,-1,134983735,2357,106843,1575,0,25,106834,71183952,3252000,4000,0,94293,0,154357377,15897592,18,0,0,4194240,ndt-88lvq_1732662732_00000000003C9A0F,569.471616,335.89636970471776,384.98029854831736,29.504,0.26368920159070053,0.9988412514484357,1.706894,430.11609475101176,29.504,0.26368920159070053
71183944,29504,739,739,3.566502,1,0,0,0,0,7,118,1,240000,40000,1448,1139,2240,0,0,0,0,12,0,272,0,1500,64076,38891,3344,2147483647,4649,1448,3,0,14600,12593,208422465,-1,151193254,2448,119518,1756,0,28,119508,71183952,3604000,4000,0,104695,0,172665792,18234664,19,0,0,4194240,ndt-88lvq_1732662732_00000000003C9A0F,569.471616,339.1407132254517,388.19451440094525,29.504,0.0,0.0,1.706894,432.2689478754657,29.504,-0.26368920159070053
71183944,29504,739,739,3.88937,1,0,0,0,0,7,118,1,248000,40000,1448,1139,2866,0,0,0,0,4,0,220,8,1500,64076,44647,4435,2147483647,4649,1448,3,0,14600,13726,208422465,-1,165340431,2539,131069,1929,0,31,131057,71183952,3928000,4000,0,114485,0,189360733,19875248,19,0,0,4194240,ndt-88lvq_1732662732_00000000003C9A0F,569.471616,340.0868130314164,390.37255288131496,29.504,0.0,0.0,1.706894,433.3103273042438,29.504,0.0
71495255,29504,739,739,4.458009,1,0,0,0,0,7,118,1,248000,40000,1448,1139,2655,0,0,0,0,12,0,456,0,1500,64076,44132,2444,2147483647,4649,1448,3,0,14600,16729,208422465,-1,189005715,2630,150240,2258,0,34,150227,59768205,4496000,4000,0,130875,0,217066123,24223592,31,0,0,4194240,ndt-88lvq_1732662732_00000000003C9A0F,478.14564,339.1751160663875,390.39404361902365,29.504,0.0,0.0,1.706894,402.57159989513707,29.504,0.0
71495255,29504,739,739,4.818497,1,3,0,0,0,7,118,1,256000,40000,1448,1139,2570,604,217,217,0,8,0,240,0,1500,64076,55593,3317,2147483647,2351,1448,3,0,14600,18102,208422465,-1,205608836,2721,163021,2454,0,37,163007,63872079,4856000,4000,0,142971,0,235532658,26211696,31,0,0,4194240,ndt-88lvq_1732662732_00000000003C9A0F,510.976632,341.36592551577803,391.913757339685,29.504,0.0778335724533716,0.9954128440366973,1.706894,414.75210495182097,29.504,0.0778335724533716
